City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
146,Gunnedah,AU,2020-05-08 22:22:55,-30.98,150.25,55.4,93,100,1.12,overcast clouds,0,0
147,Los Llanos De Aridane,ES,2020-05-08 22:22:55,28.66,-17.92,69.8,73,75,2.24,broken clouds,0,0
148,Gigmoto,PH,2020-05-08 22:22:56,13.78,124.39,80.55,75,97,2.8,overcast clouds,0,0
149,Vizinga,RU,2020-05-08 22:22:56,61.07,50.1,47.25,95,94,3.15,overcast clouds,0,0
150,Arraial Do Cabo,BR,2020-05-08 22:19:37,-22.97,-42.03,71.6,73,20,4.7,few clouds,0,0
151,Saint George,US,2020-05-08 22:14:52,37.1,-113.58,87.01,6,1,5.82,clear sky,0,0
152,Oranjemund,NA,2020-05-08 22:22:56,-28.55,16.43,59.13,80,0,3.98,clear sky,0,0
153,Lagoa,PT,2020-05-08 22:20:47,39.05,-27.98,60.28,84,78,18.28,broken clouds,0,0
154,Necochea,AR,2020-05-08 22:22:57,-38.55,-58.74,55.0,81,45,8.01,scattered clouds,0,0
155,Yangambi,CD,2020-05-08 22:22:57,0.81,24.43,71.98,91,82,1.63,broken clouds,0,0
156,Micheweni,TZ,2020-05-08 22:22:57,-4.97,39.83,80.62,77,100,17.54,light rain,0,0
157,Port-Gentil,GA,2020-05-08 22:20:51,-0.72,8.78,78.8,94,40,8.05,light rain,0,0
158,Rio Gallegos,AR,2020-05-08 22:22:57,-51.62,-69.22,48.2,76,3,4.7,clear sky,0,0
159,Port Hedland,AU,2020-05-08 22:22:57,-20.32,118.57,75.2,29,20,13.87,few clouds,0,0
160,Dikson,RU,2020-05-08 22:20:05,73.51,80.55,25.5,96,100,18.34,overcast clouds,0,0
161,Kropotkin,RU,2020-05-08 22:20:36,45.44,40.58,49.5,78,98,12.44,overcast clouds,0,0
162,Palmer,US,2020-05-08 22:21:59,42.16,-72.33,46.4,70,90,16.11,light intensity drizzle,0,0
163,Guerrero Negro,MX,2020-05-08 22:20:10,27.98,-114.06,80.33,38,0,16.2,clear sky,0,0
164,Cartagena,CO,2020-05-08 22:20:46,10.4,-75.51,87.8,74,100,11.41,light rain,0,0
165,Cap Malheureux,MU,2020-05-08 22:22:58,-19.98,57.61,71.6,94,40,4.7,scattered clouds,0,0
166,Pimentel,PE,2020-05-08 22:22:58,-6.84,-79.93,71.11,82,38,14.99,scattered clouds,0,0
167,Najran,SA,2020-05-08 22:20:16,17.49,44.13,77.0,44,48,5.1,scattered clouds,0,0
168,Chernogorsk,RU,2020-05-08 22:22:59,53.82,91.28,32.0,61,3,2.24,clear sky,0,0
169,Khorramshahr,IR,2020-05-08 22:22:59,30.44,48.17,78.8,34,25,6.71,scattered clouds,0,0
170,Pacific Grove,US,2020-05-08 22:16:42,36.62,-121.92,82.0,53,1,5.82,clear sky,0,0
171,Charters Towers,AU,2020-05-08 22:22:59,-20.1,146.27,65.93,83,46,8.99,scattered clouds,0,0
172,San Patricio,MX,2020-05-08 22:19:35,19.22,-104.7,86.0,74,20,11.41,haze,0,0
