City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Ixtapa,MX,2020-05-06 00:29:45,20.7,-105.2,80.6,74,5,9.17
146,Bulgan,MN,2020-05-06 00:29:46,48.81,103.53,48.69,65,78,7.4
147,Soyo,AO,2020-05-06 00:29:46,-6.13,12.37,78.48,88,97,1.61
148,Wladyslawowo,PL,2020-05-06 00:29:46,54.79,18.4,45.0,10,79,15.88
149,Marsa Matruh,EG,2020-05-06 00:29:46,31.35,27.25,62.82,74,0,12.01
150,Yetkul,RU,2020-05-06 00:29:46,54.82,61.59,44.6,70,0,2.62
151,Nyurba,RU,2020-05-06 00:29:46,63.28,118.33,44.62,67,100,3.42
152,Saint-Philippe,RE,2020-05-06 00:29:46,-21.36,55.77,71.6,78,37,3.36
153,Miguel Hidalgo,MX,2020-05-06 00:24:50,19.42,-99.2,75.2,36,75,24.16
154,Hope,US,2020-05-06 00:28:51,33.67,-93.59,78.01,39,4,5.01
155,Champerico,GT,2020-05-06 00:29:47,14.3,-91.92,75.2,100,90,6.93
156,Hirara,JP,2020-05-06 00:29:47,24.8,125.28,80.6,88,75,12.75
157,Clyde River,CA,2020-05-06 00:29:47,70.47,-68.59,8.6,92,20,9.17
158,Gboko,NG,2020-05-06 00:29:47,7.32,9.0,83.25,67,0,8.72
159,Ahipara,NZ,2020-05-06 00:29:48,-35.17,173.17,59.92,57,1,16.02
160,Bambous Virieux,MU,2020-05-06 00:29:48,-20.34,57.76,73.99,94,75,11.56
161,Prainha,BR,2020-05-06 00:29:48,-1.8,-53.48,76.12,96,100,6.22
162,Cayenne,GF,2020-05-06 00:29:48,4.93,-52.33,80.6,88,98,5.82
163,Panama City,PA,2020-05-06 00:27:31,8.99,-79.52,84.2,83,40,11.41
164,Podor,MR,2020-05-06 00:29:48,16.65,-14.96,91.4,26,0,4.7
165,Pasni,PK,2020-05-06 00:29:49,25.26,63.47,87.4,36,0,8.12
166,Namibe,AO,2020-05-06 00:29:49,-15.2,12.15,77.47,69,1,0.96
167,Mount Gambier,AU,2020-05-06 00:29:49,-37.83,140.77,55.4,66,100,13.87
168,Jumla,NP,2020-05-06 00:29:49,29.27,82.18,46.17,65,99,2.91
169,Nishihara,JP,2020-05-06 00:29:49,26.18,127.76,77.0,94,90,17.22
170,Anadyr,RU,2020-05-06 00:29:50,64.75,177.48,26.6,73,0,4.47
171,Dikson,RU,2020-05-06 00:29:50,73.51,80.55,8.01,92,99,11.72
172,Gat,IL,2020-05-06 00:25:01,31.61,34.76,63.0,79,4,13.6
173,Tocopilla,CL,2020-05-06 00:29:50,-22.09,-70.2,63.73,70,21,4.81
174,Namatanai,PG,2020-05-06 00:29:50,-3.67,152.43,85.48,62,99,1.74
175,Nador,MA,2020-05-06 00:29:50,35.17,-2.93,73.4,43,100,11.41
176,Georgetown,MY,2020-05-06 00:29:50,5.41,100.34,80.6,100,40,4.7
177,Yerbogachen,RU,2020-05-06 00:29:51,61.28,108.01,45.75,73,100,13.49
178,Shumskiy,RU,2020-05-06 00:29:51,54.83,99.13,41.05,66,99,15.93
179,Souillac,MU,2020-05-06 00:29:51,-20.52,57.52,73.4,94,75,9.01
180,Parrita,CR,2020-05-06 00:29:51,9.52,-84.32,73.4,73,75,10.29
181,Narsaq,GL,2020-05-06 00:29:51,60.92,-46.05,42.8,75,100,8.28
182,Lebu,CL,2020-05-06 00:25:23,-37.62,-73.65,55.04,75,0,18.88
183,Antofagasta,CL,2020-05-06 00:29:52,-23.65,-70.4,60.8,82,90,8.05
184,Kaeo,NZ,2020-05-06 00:29:52,-35.1,173.78,61.0,59,0,15.99
185,Broome,US,2020-05-06 00:29:52,42.25,-75.83,46.99,30,1,9.17
186,Yei,SS,2020-05-06 00:29:52,4.09,30.68,68.85,86,87,3.33
187,Solano,US,2020-05-06 00:29:52,38.23,-121.95,80.6,34,1,21.92
188,Karratha,AU,2020-05-06 00:29:52,-20.74,116.85,74.88,49,69,4.68
189,Pevek,RU,2020-05-06 00:29:52,69.7,170.31,20.44,88,25,2.98
190,Ondjiva,AO,2020-05-06 00:29:53,-17.07,15.73,64.87,51,42,6.6
191,Aklavik,CA,2020-05-06 00:29:53,68.22,-135.01,33.8,98,90,4.7
192,Hofn,IS,2020-05-06 00:26:05,64.25,-15.21,47.66,51,2,12.62
193,Japura,ID,2020-05-06 00:29:53,-0.32,102.35,76.33,97,59,2.01
194,Tabou,CI,2020-05-06 00:25:34,4.42,-7.35,80.55,84,98,5.21
195,Villamontes,BO,2020-05-06 00:29:53,-21.25,-63.5,67.19,84,96,8.55
196,Zhanaozen,KZ,2020-05-06 00:29:53,43.3,52.8,66.45,34,100,22.46
197,Mehran,IR,2020-05-06 00:29:54,33.12,46.16,71.6,30,90,11.41
198,Kiunga,PG,2020-05-06 00:29:54,-6.12,141.29,75.97,95,100,2.51
199,Zhezkazgan,KZ,2020-05-06 00:29:54,47.8,67.71,42.8,56,90,13.42
200,Byron Bay,AU,2020-05-06 00:29:54,-28.65,153.62,66.2,93,90,9.17
201,Kahului,US,2020-05-06 00:26:36,20.89,-156.47,86.0,45,40,20.8
202,Bassar,TG,2020-05-06 00:29:54,9.25,0.78,77.0,83,20,6.93
203,Mana,GF,2020-05-06 00:29:54,5.66,-53.78,78.53,86,92,12.48
204,Northam,GB,2020-05-06 00:29:55,51.03,-4.22,50.0,68,98,5.99
205,Umm Kaddadah,SD,2020-05-06 00:26:39,13.6,26.69,83.08,15,1,16.37
206,Moerai,PF,2020-05-06 00:29:55,-22.43,-151.33,78.93,80,85,7.49
207,Port Blair,IN,2020-05-06 00:29:55,11.67,92.75,83.3,75,74,4.14
208,Ardon,RU,2020-05-06 00:29:55,43.17,44.29,53.01,100,98,4.47
209,Mehamn,NO,2020-05-06 00:29:55,71.04,27.85,36.59,82,89,21.61
210,Baiyin,CN,2020-05-06 00:29:55,36.56,104.21,55.4,71,20,11.18
